a-candy-beauty-icon-theme-git 23.07-01
a52dec 0.8.0-2
aalib 1.4rc5-17
abseil-cpp 20230125.3-2
accountsservice 23.13.9-1
acl 2.3.1-3
acpica 20230628-1
adapta-gtk-theme 3.95.0.11-2
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-sans-kr-fonts 2.004-1
adwaita-cursors 44.0-1
adwaita-icon-theme 44.0-1
alacritty 0.12.2-1
alsa-card-profiles 1:0.3.79-1
alsa-firmware 1.2.4-3
alsa-lib 1.2.9-1
alsa-plugins 1:1.2.7.1-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.9-1
alsa-utils 1.2.9-1
android-file-transfer 4.2-3
ansible 8.3.0-1
ansible-core 2.15.3-1
aom 3.7.0-1
appstream 0.16.3-1
arandr 0.1.11-2
arc-gtk-theme 20221218-1
arc-icon-theme 20161122-3
arch-install-scripts 28-1
archlinux-keyring 20230821-2
archlinux-tweak-tool-dev-git 23.08-04
arcolinux-alacritty-git 23.06-01
arcolinux-arc-kde 20220908-01
arcolinux-grub-theme-vimix-git 20230305-03
arcolinux-keyring 20251209-3
arcolinux-meta-sddm-themes 23.06-01
arcolinux-meta-utilities 23.06-01
arcolinux-mirrorlist-git 23.06-01
arcolinux-neofetch-git 23.06-01
arcolinux-paru-git 23.06-01
arcolinux-sddm-futuristic-git 23.06-01
arcolinux-sddm-materia-git 23.06-01
arcolinux-sddm-simplicity-git 23.06-01
arcolinux-sddm-slice-git 23.06-01
arcolinux-sddm-sugar-candy-git 23.06-01
arcolinux-sddm-urbanlifestyle-git 23.06-01
arcolinux-systemd-services-git 23.06-01
arcolinux-wallpapers-git 23.06-01
arcolinuxd-system-config-git 23.07-02
arcolinuxd-welcome-app-git 23.06-01
argocd 2.8.2-1
argon2 20190702-5
aribb24 1.0.3-3
asciinema 2.3.0-1
at-spi2-core 2.48.3-2
atkmm 2.28.3-1
attica 5.109.0-1
attr 2.5.1-3
audit 3.1.2-1
autoconf 2.71-4
automake 1.16.5-2
avahi 1:0.8+r22+gfd482a7-1
aws-cli 1.29.25-1
ayu-theme 21.07-01
base 3-1
bash 5.1.016-4
bash-completion 2.11-3
bash-language-server 5.0.0-2
bashtop 0.9.25-1
bat 0.23.0-3
bc 1.07.1-4
bibata-cursor-theme-bin 2.0.3-1
bind 9.18.18-1
binutils 2.41-3
bison 3.8.2-6
blas 3.11.0-2
blueman 2.3.5-2
bluez 5.69-1
bluez-libs 5.69-1
bluez-tools 0.2.0-5
bluez-utils 5.69-1
boost-libs 1.81.0-7
botan 3.1.1-1
botan2 2.19.3-1
brave-bin 1:1.57.57-1
breeze-icons 5.109.0-1
bridge-utils 1.7.1-1
broadcom-wl 6.30.223.271-496
broot 1.25.0-1
brotli 1.0.9-12
btrfs-progs 6.3.3-1
bubblewrap 0.8.0-1
bzip2 1.0.8-5
c-ares 1.19.1-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.92-1
ca-certificates-utils 20220905-1
cairo 1.17.8-2
cairomm 1.14.4-1
cantarell-fonts 1:0.303.1-1
capitaine-cursors 4-2
cblas 3.11.0-2
cdparanoia 10.2-8
chaotic-keyring 20230616-1
chaotic-mirrorlist 20230823-1
chromaprint 1.5.1-7
chromium 116.0.5845.140-1
cifs-utils 7.0-3
clang 16.0.6-1
clang15 15.0.7-1
clipmenu 6.2.0-2
clipnotify 1.0.2-2
clonezilla 3.35.2-5
cmake 3.27.4-1
compiler-rt 16.0.6-2
compiler-rt15 15.0.7-1
confuse 3.3-3
containerd 1.7.2-1
coreutils 9.3-1
cppdap 1.58.0-1
cpu-x 4.5.3-3
cracklib 2.9.11-1
cryptsetup 2.6.1-3
cups 1:2.4.6-1
cups-filters 1.28.17-4
curl 8.2.1-1
cython 3.0.2-1
dav1d 1.2.1-1
db 6.2.32-1
db5.3 5.3.28-4
dbus 1.14.8-1
dbus-glib 0.112-3
dbus-python 1.3.2-2
dconf 0.40.0-2
ddcutil 1.4.1-1
ddrescue 1.27-1
default-cursors 2-1
desktop-file-utils 0.26-2
device-mapper 2.03.22-2
dex 0.9.0-1
dhclient 4.4.3.P1-2
dialog 1:1.3_20230209-1
diffutils 3.10-1
ding-libs 0.6.2-1
djvulibre 3.5.28-5
dmenu 5.2-1
dmidecode 3.5-1
dmraid 1.0.0.rc16.3-14
dnsmasq 2.89-1
dnssec-anchors 20190629-3
docker 1:24.0.5-1
docker-compose 2.20.3-1
dosfstools 4.2-3
double-conversion 3.3.0-1
drbl 2.30.5-3
duktape 2.7.0-6
dunst 1.9.2-1
e2fsprogs 1.47.0-1
ecryptfs-utils 111-7
edid-decode-git r656.e59b8a2-1
edk2-shell 202308-2
efibootmgr 18-2
efivar 38-3
egl-wayland 2:1.1.12-1
eglexternalplatform 1.1-2
electron 1:25-1
electron25 25.6.0-1
elfutils 0.189-3
elixir 1.15.0-1
enchant 2.5.0-1
endeavouros-keyring 20230523-1
endeavouros-mirrorlist 23.7-1
erlang-nox 26.0.2-1
ethtool 1:6.4-1
evince 44.3-1
exfatprogs 1.2.1-1
exiv2 0.28.0-3
exo 4.18.0-1
expac 10-5
expat 2.5.0-1
eza 0.11.0-1
f2fs-tools 1.16.0-2
faac 1.30-4
faad2 2.10.1-1
faba-icon-theme-git 4.3.r0.g6d7ebd2-1
faba-mono-icons-git r106.2006c52-1
fakeroot 1.32.1-1
fatresize 1.1.0-1
feh 3.10-1
ffmpeg 2:6.0-8
ffmpeg4.4 4.4.4-1
fftw 3.3.10-4
file 5.45-1
filesystem 2023.01.31-1
findutils 4.9.0-3
firefox 117.0-1
flac 1.4.3-1
flameshot 12.1.0-1
flex 2.6.4-5
fluidsynth 2.3.3-1
font-manager-git 0.8.8.r49.g7170eca7-1
fontconfig 2:2.14.2-1
foomatic-db-engine 4:20220521-1
frameworkintegration 5.109.0-1
freeglut 3.4.0-1
freeimage 3.18.0-20
freetype2 2.13.2-1
fribidi 1.0.13-2
fsarchiver 0.8.7-1
fuse-common 3.16.1-1
fuse2 2.9.9-4
fuse3 3.16.1-1
fzf 0.42.0-1
gawk 5.2.2-1
gc 8.2.4-1
gcc 13.2.1-3
gcc-libs 13.2.1-3
gconf 3.2.6+11+g07808097-10
gcr 3.41.1-4
gcr-4 4.1.0-1
gd 2.3.3-7
gdb 13.2-1
gdb-common 13.2-1
gdbm 1.23-2
gdk-pixbuf2 2.42.10-2
geoclue 2.7.0-1
geocode-glib 3.26.4-3
geocode-glib-2 3.26.4-3
geocode-glib-common 3.26.4-3
gettext 0.22-1
gflags 2.2.2-4
ghc-libs 9.0.2-3
ghostscript 10.01.2-1
giflib 5.2.1-2
git 2.42.0-1
git-delta 0.16.5-1
git-filter-repo 2.38.0-1
github-cli 2.33.0-1
gksu 2.0.2-6
glances 3.4.0.3-1
glew 2.2.0-6
glfw-wayland 3.3.8-1
glib-networking 1:2.76.1-1
glib2 2.76.5-1
glibc 2.38-3
glibmm 2.66.6-1
glslang 12.3.1-2
glu 9.0.3-1
gmp 6.3.0-1
gnome-bluetooth 3.34.5-4
gnome-desktop 1:44.0-1
gnome-desktop-common 1:44.0-1
gnome-keyring 1:42.1-3
gnome-settings-daemon 44.1-1
gnome-themes-extra 3.28+r6+g45b1d457-1
gnu-netcat 0.7.1-9
gnupg 2.2.41-1
gnutls 3.8.1-1
go 2:1.21.0-1
gobject-introspection-runtime 1.76.1-3
gotop-bin 4.2.0-1
gpart 0.3-4
gparted 1.5.0-1
gperftools 2.12-1
gpgme 1.22.0-1
gpm 1.20.7.r38.ge82d1a6-5
gptfdisk 1.0.9-2
graphene 1.10.8-1
graphite 1:1.3.14-3
graphviz 8.1.0-2
grep 3.11-1
groff 1.23.0-3
grub 2:2.12rc1-1
gsettings-desktop-schemas 44.0-1
gsfonts 20200910-3
gsimplecal 2.4.1-1
gsl 2.7.1-3
gsm 1.0.22-1
gspell 1.12.2-1
gssdp 1.6.2-1
gssproxy 0.9.1-2
gst-plugins-bad 1.22.5-1
gst-plugins-bad-libs 1.22.5-1
gst-plugins-base 1.22.5-1
gst-plugins-base-libs 1.22.5-1
gst-plugins-good 1.22.5-1
gst-plugins-ugly 1.22.5-1
gstreamer 1.22.5-1
gtk-engine-murrine 0.98.2-4
gtk-update-icon-cache 1:4.12.1-1
gtk2 2.24.33-3
gtk3 1:3.24.38-1
gtkmm3 3.24.8-1
gtop 1.1.5-1
gts 0.7.6.121130-2
guile 3.0.9-1
gupnp 1:1.6.5-1
gupnp-igd 1.6.0-1
gvfs 1.50.6-1
gvfs-smb 1.50.6-1
gzip 1.12-3
halo-icons-git 2.3-1
handbrake 1.6.1-2
harfbuzz 8.1.1-1
harfbuzz-icu 8.1.1-1
haskell-aeson 2.1.2.1-7
haskell-assoc 1.0.2-188
haskell-attoparsec 0.14.4-55
haskell-base-compat 0.12.2-1
haskell-base-compat-batteries 0.12.2-48
haskell-base-orphans 0.8.7-56
haskell-bifunctors 5.5.15-9
haskell-comonad 5.0.8-188
haskell-contravariant 1.5.5-3
haskell-data-array-byte 0.1.0.1-17
haskell-data-fix 0.3.2-83
haskell-diff 0.4.1-56
haskell-distributive 0.6.2.1-190
haskell-dlist 1.0-213
haskell-erf 2.0.0.0-24
